,CN A,CN B,CN C,CN D,CN E,CN F,CN G,CN H,AC 1,AC 2,AC 3,AC 4,AC 5,AC 6,AC 7,AC 8
8:00,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
8:05,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
8:10,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
8:15,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
8:20,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
8:25,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
8:30,,,,,,,,,,Site-office,,,,,,
8:35,,,,,,,,,,Site-office,,,,,,
8:40,,,,,,,,,,Site-office,,,,,,
8:45,,,,,,,,,,Site-office,,,,,,
8:50,,,,,,,,,,Site-office,,,,,,
8:55,,,,,,,,,,Site-office,,,,,,
9:00,,Time-off,,Time-off,Time-off,,Time-off,,Time-off,Site-office,Time-off,,Time-off,Time-off,Time-off,Time-off
9:05,,Time-off,,Time-off,Time-off,,Time-off,,Time-off,Site-office,Time-off,,Time-off,Time-off,Time-off,Time-off
9:10,,Time-off,,Time-off,Time-off,,Time-off,,Time-off,Site-office,Time-off,,Time-off,Time-off,Time-off,Time-off
9:15,,Time-off,,Time-off,Time-off,,Time-off,,Time-off,Site-office,Time-off,Music Performance Coordinator (Singers),Time-off,Time-off,Time-off,Time-off
9:20,,Time-off,,Time-off,Time-off,,Time-off,,Time-off,Site-office,Time-off,Music Performance Coordinator (Singers),Time-off,Time-off,Time-off,Time-off
9:25,,Time-off,,Time-off,Time-off,,Time-off,,Time-off,Site-office,Time-off,Music Performance Coordinator (Singers),Time-off,Time-off,Time-off,Time-off
9:30,,Time-off,,Time-off,Time-off,,Time-off,,Seating Support,Site-office,Seating Support,Music Performance Coordinator (Singers),Seating Support,Time-off,Seating Support,Seating Support
9:35,,Time-off,,Time-off,Time-off,,Time-off,,Seating Support,Site-office,Seating Support,Music Performance Coordinator (Singers),Seating Support,Time-off,Seating Support,Seating Support
9:40,,Time-off,,Time-off,Time-off,,Time-off,,Seating Support,Site-office,Seating Support,Music Performance Coordinator (Singers),Seating Support,Time-off,Seating Support,Seating Support
9:45,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,,Time-off
9:50,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,,Time-off
9:55,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,,Time-off
10:00,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,,Time-off
10:05,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,,Time-off
10:10,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,,Time-off
10:15,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,Class Coordinator,Time-off
10:20,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,Class Coordinator,Time-off
10:25,,Time-off,,Time-off,Time-off,,Time-off,,,Site-office,,Music Performance Coordinator (Singers),,Hallway Supervision,Class Coordinator,Time-off
10:30,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
10:35,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
10:40,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
10:45,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
10:50,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
10:55,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
11:00,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
11:05,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
11:10,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,Time-off
11:15,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Class Support,Class Support,Class Support,CN Coordination Meeting,Site-office / CN Coordination Meeting,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Class Coordinator,
